S.N,Journal Name,Impact Factor,Cost,Acceptance rate,URL
1,Nature Microbiology,28.3,"$11,000 ",7%,https://www.nature.com/nmicrobiol/journal-impact
2,FEMS Microbiology Reviews,11.3,"$3,000 ",42.90%,https://academic.oup.com/femsmicrobes/pages/About
3,Microbiology and Molecular Biology Reviews,13.04,NA/Free,NA,https://academic-accelerator.com/Impact-of-Journal/Microbiology-and-Molecular-Biology-Reviews
4,Expert Review of Anti-Infective Therapy,5.7,"$4,900 ",32%,https://www.tandfonline.com/action/journalInformation?show=journalMetrics&journalCode=ierz20
5,journal of bacteriology,3.4,"$2,900 ",75%,https://academic-accelerator.com/Impact-of-Journal/Journal-of-Bacteriology
6,cell host and microbe,30.1,"$9,350 ",100%,https://academic-accelerator.com/Impact-of-Journal/Cell-Host-and-Microbe
7,Molecular Microbiology,3.9,NA,41%,https://onlinelibrary.wiley.com/journal/13652958/journal-metrics
8,The ISME Journal,11.2,"$3,900 ",30.40%,https://www.nature.com/ismej/journal-information
9,Critical Reviews in Microbiology,6.5,None,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=imby20#publication-charges
10,mBio,6.4,"$3,900 ",63.40%,https://www.bioxbio.com/journal/MBIO
11,Future Microbiology,3.1,"$2,175 ",100%,https://www.futuremedicine.com/authorguide/openaccess#point5
12,Beneficial Microbes,5.4,"$1,400 ",NA,https://www.mdpi.com/apc
13,ieee open journal of engineering in medicine and biology,5.8,"$1,995 ",NA,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782705
14,nature biotechnology,46.9,"$11,600 ",40%,https://academic-accelerator.com/Acceptance-Rate/Nature-Biotechnology
15,Osteoarthritis and Cartilage,7,"$2,590 ",25%,https://www.sciencedirect.com/journal/osteoarthritis-and-cartilage/about/insights
16,Acta Biomaterialia,9.7,"$3,210 ",84.60%,https://academic-accelerator.com/Impact-of-Journal/Acta-Biomaterialia
17,asaio journal,4.2,None,63%,https://asaio.org/journal/
18,Material today,24.2,"$5,460 ",100%,https://www.sciencedirect.com/journal/materials-today/about/insights
19,Biomedical Materials,4,"$3,075 ",28%,https://iopscience.iop.org/journal/1748-605X/page/About_the_journal
